"Rider","Year","Riding_Time_hrs"
"Jacopo Guarnieri",2011,100.773611111111
"Jacopo Guarnieri",2012,125.432777777778
"Jacopo Guarnieri",2013,157.180833333333
"Jacopo Guarnieri",2014,123.893055555556
"Jacopo Guarnieri",2015,158.593333333333
"Jacopo Guarnieri",2016,125.046111111111
"Jakob Fuglsang",2010,148.303055555556
"Jakob Fuglsang",2011,189.561388888889
"Jakob Fuglsang",2012,104.763611111111
"Jakob Fuglsang",2013,112.994722222222
"Jakob Fuglsang",2014,115.300833333333
"Jakob Fuglsang",2015,114.796944444444
"Jakob Fuglsang",2016,203.4975
"Jan Bakelants",2010,5.20527777777778
"Jan Bakelants",2011,126.108888888889
"Jan Bakelants",2012,204.309166666667
"Jan Bakelants",2013,70.8161111111111
"Jan Bakelants",2014,137.025555555556
"Jan Bakelants",2015,162.661944444444
"Jan Bakelants",2016,173.999722222222
"Jan Barta",2010,121.181944444444
"Jan Barta",2011,128.4025
"Jan Barta",2012,157.557777777778
"Jan Barta",2013,150.600833333333
"Jan Barta",2014,96.2972222222222
"Jan Barta",2015,118.086111111111
"Jan Barta",2016,110.668888888889
"Jan Polanc",2010,28.2380555555556
"Jan Polanc",2011,61.505
"Jan Polanc",2012,27.1483333333333
"Jan Polanc",2013,13.1058333333333
"Jan Polanc",2014,179.520833333333
"Jan Polanc",2015,197.495277777778
"Jan Polanc",2016,173.050277777778
"Jarlinson Pantano",2010,27.7525
"Jarlinson Pantano",2011,110.291388888889
"Jarlinson Pantano",2012,50.3280555555556
"Jarlinson Pantano",2013,117.095833333333
"Jarlinson Pantano",2014,199.5
"Jarlinson Pantano",2015,104.303055555556
"Jarlinson Pantano",2016,126.807777777778
"Jasper Stuyven",2010,27.3505555555556
"Jasper Stuyven",2011,4.485
"Jasper Stuyven",2012,59.6636111111111
"Jasper Stuyven",2013,48.6297222222222
"Jasper Stuyven",2014,100.4925
"Jasper Stuyven",2015,130.701388888889
"Jasper Stuyven",2016,127.609722222222
"Jeremy Roy",2010,166.320833333333
"Jeremy Roy",2011,143.396111111111
"Jeremy Roy",2012,194.291111111111
"Jeremy Roy",2013,120.364166666667
"Jeremy Roy",2014,180.796388888889
"Jeremy Roy",2015,156.488888888889
"Jeremy Roy",2016,89.0594444444444
"JErEmy Roy",2014,10.7530555555556
"Jerome Coppel",2010,156.55
"Jerome Coppel",2011,128.990277777778
"Jerome Coppel",2012,152.655833333333
"Jerome Coppel",2013,94.4133333333333
"Jerome Coppel",2014,119.090555555556
"Jerome Coppel",2015,123.981666666667
"Jerome Coppel",2016,173.461666666667
"Jerome Cousin",2010,43.5694444444444
"Jerome Cousin",2011,116.354722222222
"Jerome Cousin",2012,154.476666666667
"Jerome Cousin",2013,66.5855555555556
"Jerome Cousin",2014,127.27
"Jerome Cousin",2015,155.177222222222
"Jerome Cousin",2016,105.619722222222
"Joaquim Rodriguez",2010,35.3202777777778
"Joaquim Rodriguez",2013,26.7677777777778
"Joaquim Rodriguez",2014,18.8536111111111
"Joaquim Rodriguez",2015,104.531111111111
"Joaquim Rodriguez",2016,21.9941666666667
"John Degenkolb",2010,92.9244444444444
"John Degenkolb",2011,111.066388888889
"John Degenkolb",2012,150.256111111111
"John Degenkolb",2013,123.194166666667
"John Degenkolb",2014,197.401666666667
"John Degenkolb",2015,160.567222222222
"John Degenkolb",2016,39.1897222222222
"Jon Izaguirre",2010,21.5388888888889
"Jon Izaguirre",2011,18.0433333333333
"Jon Izaguirre",2016,86.4666666666667
"Julian Alaphilippe",2010,1.39111111111111
"Julian Alaphilippe",2012,20.4091666666667
"Julian Alaphilippe",2013,7.83972222222222
"Julian Alaphilippe",2014,109.370277777778
"Julian Alaphilippe",2015,140.452222222222
"Julian Alaphilippe",2016,109.923611111111
"Julien Vermote",2010,48.2508333333333
"Julien Vermote",2011,184.476944444444
"Julien Vermote",2012,194.854444444444
"Julien Vermote",2013,187.985277777778
"Julien Vermote",2014,200.006666666667
"Julien Vermote",2015,162.000277777778
"Julien Vermote",2016,168.014166666667
"Jurgen Roelandts",2010,162.1375
"Jurgen Roelandts",2011,186.528888888889
"Jurgen Roelandts",2012,66.0497222222222
"Jurgen Roelandts",2013,105.219722222222
"Jurgen Roelandts",2014,123.475277777778
"Jurgen Roelandts",2015,140.063611111111
"Jurgen Roelandts",2016,159.522222222222
"Kristijan Durasek",2010,102.441944444444
"Kristijan Durasek",2011,122.338888888889
"Kristijan Durasek",2012,40.7125
"Kristijan Durasek",2013,211.041666666667
"Kristijan Durasek",2014,130.009444444444
"Kristijan Durasek",2015,116.959444444444
"Kristijan Durasek",2016,127.6725
"Kristijan Koren",2010,143.664722222222
"Kristijan Koren",2011,104.458888888889
"Kristijan Koren",2012,90.5083333333333
"Kristijan Koren",2013,138.516944444444
"Kristijan Koren",2014,164.941388888889
"Kristijan Koren",2015,139.618611111111
"Kristijan Koren",2016,122.292777777778
"Lars Ytting Bak",2010,151.333611111111
"Lars Ytting Bak",2011,212.424444444444
"Lars Ytting Bak",2012,133.723333333333
"Lars Ytting Bak",2013,104.794722222222
"Lars Ytting Bak",2014,192.044722222222
"Lars Ytting Bak",2015,160.455
"Lars Ytting Bak",2016,149.151388888889
"Laurens ten Dam",2011,17.9175
"Laurens ten Dam",2014,68.9997222222222
"Laurens ten Dam",2015,34.5783333333333
"Laurens ten Dam",2016,4.58944444444444
"Laurens Ten Dam",2010,129.429722222222
"Laurens Ten Dam",2011,171.461388888889
"Laurens Ten Dam",2012,175.296111111111
"Laurens Ten Dam",2013,170.430555555556
"Laurens Ten Dam",2014,116.501388888889
"Laurens Ten Dam",2015,105.504166666667
"Laurens Ten Dam",2016,118.019444444444
"Lawson Craddock",2010,25.2666666666667
"Lawson Craddock",2011,32.0638888888889
"Lawson Craddock",2012,64.7766666666667
"Lawson Craddock",2013,41.6794444444444
"Lawson Craddock",2014,170.068333333333
"Lawson Craddock",2015,115.513611111111
"Lawson Craddock",2016,112.868888888889
"Leigh Howard",2010,73.8175
"Leigh Howard",2011,86.2769444444444
"Leigh Howard",2012,133.985555555556
"Leigh Howard",2013,114.461666666667
"Leigh Howard",2014,185.220833333333
"Leigh Howard",2015,56.8783333333333
"Leigh Howard",2016,138.805833333333
"Louis Meintjes",2010,4.93833333333333
"Louis Meintjes",2011,26.48
"Louis Meintjes",2013,85.5147222222222
"Louis Meintjes",2014,134.9025
"Louis Meintjes",2015,169.309444444444
"Louis Meintjes",2016,106.182777777778
"Luis Angel Mate",2010,9.76361111111111
"Luis Angel Mate",2011,11.345
"Luis Angel Mate",2012,26.7925
"Luis Angel Mate",2013,12.2194444444444
"Luis Angel Mate",2014,8.61111111111111
"Luis Angel Mate",2015,116.421111111111
"Luis Angel Mate",2016,101.994444444444
"Luis Leon Sanchez",2010,79.9402777777778
"Luis Leon Sanchez",2011,0.945277777777778
"Luis Leon Sanchez",2012,65.7836111111111
"Luis Leon Sanchez",2013,5.45583333333333
"Luis Leon Sanchez",2014,48.8344444444444
"Luis Leon Sanchez",2015,168.010833333333
"Luis Leon Sanchez",2016,112.218611111111
"Luka Pibernik",2010,6.27
"Luka Pibernik",2011,18.4577777777778
"Luka Pibernik",2012,27.5302777777778
"Luka Pibernik",2013,13.6052777777778
"Luka Pibernik",2014,22.2252777777778
"Luka Pibernik",2015,122.165
"Luka Pibernik",2016,139.295833333333
"Luke Durbridge",2010,62.1375
"Luke Durbridge",2011,61.3444444444444
"Luke Durbridge",2012,113.879722222222
"Luke Durbridge",2013,189.050277777778
"Luke Durbridge",2014,92.9386111111111
"Luke Durbridge",2015,147.28
"Luke Durbridge",2016,110.004722222222
"Luke Rowe",2010,83.3358333333333
"Luke Rowe",2011,107.106944444444
"Luke Rowe",2012,151.439722222222
"Luke Rowe",2013,101.688888888889
"Luke Rowe",2014,187.346944444444
"Luke Rowe",2015,115.859722222222
"Luke Rowe",2016,120.719444444444
"Maarten Wynants",2010,169.846666666667
"Maarten Wynants",2011,136.888888888889
"Maarten Wynants",2012,158.386944444444
